anno;ats_struttura;codice_struttura_di_ricovero;descrizione_struttura_di_ricovero;coordinata_geografica_x;coordinata_geografica_y;codice_disciplina;descrizione_disciplina;tipologia_assistenza;tipo_drg;codice_drg;descrizione_drg;codice_acc_di_diagnosi;descrizione_acc_di_diagnosi;codice_mdc;descrizione_mdc;totale_ricoveri;ricoveri_do;ricoveri_ordinari_01_giorni;ricoveri_dh;ricoveri_ds;giornate_degenza_do;accessi_dh;accessi_ds;giornate_degenza_totali;dimissioni_volontarie;trasferimenti;ricoveri_ripetuti;ritorni_in_sala_operatoria
2012;328 - ATS DI PAVIA;030924-00;OSPEDALE POLICLINICO S. MATTEO - PAVIA;45.19564231;9.147460893;11;CHIRURGIA PEDIATRICA;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;6;2;0;4;0;6;4;0;10;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030004-00;OSPEDALE DI CIRCOLO - BUSTO ARSIZIO;45.6213059;8.847283842;40;PSICHIATRIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;67;67;0;0;0;1096;0;0;1096;0;0;0;0
2012;326 - ATS DI BRESCIA;030154-02;STABILIMENTO OSPEDALIERO DI ORZINUOVI;45.40203167;9.926643819;26;MEDICINA GENERALE;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;2;2;0;0;0;12;0;0;12;0;0;0;0
2012;328 - ATS DI PAVIA;030198-00;CASA DI CURA BEATO MATTEO;45.30665545;8.869449753;26;MEDICINA GENERALE;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;10;10;0;0;0;63;0;0;63;0;0;0;0
2012;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;43;UROLOGIA;A;C;307;PROSTATECTOMIA SENZA CC;32;TUMORI MALIGNI DELLA VESCICA;11;MALATTIE E DISTURBI RENE E VIE URINARIE;24;24;0;0;0;105;0;0;105;0;0;0;0
2012;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;9;CHIRURGIA GENERALE;A;C;146;RESEZIONE RETTALE CON CC;42;TUMORI MALIGNI SECONDARI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;22;0;0;22;0;0;0;0
2012;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;8;7;0;0;1;16;0;1;17;0;0;0;0
2013;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;68;PNEUMOLOGIA;A;M;96;BRONCHITE E ASMA, ETA' > 17 CON CC;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;8;0;0;8;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;26;MEDICINA GENERALE;A;M;97;BRONCHITE E ASMA, ETA' > 17 SENZA CC;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;6;6;0;0;0;34;0;0;34;0;0;0;0
2012;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030281-01;OSPEDALE DI LEGNANO;45.57377537;8.9059185;29;NEFROLOGIA;A;M;141;SINCOPE E COLLASSO CON CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;2;2;0;0;0;24;0;0;24;0;0;0;0
2012;328 - ATS DI PAVIA;030924-00;OSPEDALE POLICLINICO S. MATTEO - PAVIA;45.19564231;9.147460893;52;DERMATOLOGIA;A;M;510;USTIONI NON ESTESE CON CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;2;2;0;0;0;44;0;0;44;0;0;0;0
2013;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;11;CHIRURGIA PEDIATRICA;A;C;163;INT. ERNIA, ETA' < 18;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;80;80;58;0;0;129;0;0;129;0;0;0;0
2012;325 - ATS DI BERGAMO;030132-00;OSPEDALE CIVILE - S.GIOVANNI BIANCO;45.87095258;9.654290137;37;OSTETRICIA E GINECOLOGIA;A;M;380;ABORTO SENZA D&C;177;ABORTO SPONTANEO;14;GRAVIDANZA, PARTO E PUERPERIO;5;5;3;0;0;15;0;0;15;0;0;0;0
2012;325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;172;T.M. APP. DIGERENTE CON CC;14;TUMORI MALIGNI DEL COLON;6;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;30;0;0;30;0;0;0;0
2013;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;37;OSTETRICIA E GINECOLOGIA;A;M;380;ABORTO SENZA D&C;177;ABORTO SPONTANEO;14;GRAVIDANZA, PARTO E PUERPERIO;12;12;12;0;0;12;0;0;12;0;0;0;0
2012;326 - ATS DI BRESCIA;030295-00;POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;64;ONCOLOGIA;A;M;172;T.M. APP. DIGERENTE CON CC;42;TUMORI MALIGNI SECONDARI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;19;0;0;19;0;0;0;0
2012;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;39;PEDIATRIA;A;M;33;COMMOZIONE CEREBRALE, ETA' < 18;233;TRAUMATISMO INTRACRANICO;1;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;0;0;0;2;0;0;2;0;0;0;0
2012;324 - ATS DELLA BRIANZA;030078-00;PRESIDIO OSPEDALIERO DI VIMERCATE;45.6084494;9.3580982;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;235;FERITE APERTE DI TESTA, COLLO E TRONCO;2;MALATTIE E DISTURBI OCCHIO;2;0;0;0;2;0;0;3;3;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030274-01;OSPEDALE VALCAMONICA - ESINE;45.92683281;10.24320324;68;PNEUMOLOGIA;A;M;78;EMBOLIA POLMONARE;103;MALATTIA CARDIOPOLMONARE;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;16;16;0;0;0;147;0;0;147;0;0;0;0
2012;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;37;OSTETRICIA E GINECOLOGIA;A;M;379;MINACCIA DI ABORTO;184;MINACCIA O TRAVAGLIO DI PARTO PRECOCE;14;GRAVIDANZA, PARTO E PUERPERIO;10;10;1;0;0;41;0;0;41;0;0;0;0
