ats_struttura;codice_struttura_di_ricovero;descrizione_struttura_di_ricovero;coordinata_geografica_x;coordinata_geografica_y;codice_disciplina;descrizione_disciplina;tipologia_assistenza;tipo_drg;codice_drg;descrizione_drg;codice_mdc;descrizione_mdc;totale_ricoveri;ricoveri_do;ricoveri_ordinari_01_giorni;ricoveri_dh;ricoveri_ds;giornate_degenza_do;accessi_dh;accessi_ds;giornate_degenza_totali;dimissioni_volontarie;trasferimenti;ricoveri_ripetuti;ritorni_in_sala_operatoria
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;172;T.M. APP. DIGERENTE CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;30;0;0;30;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;C;468;INT. CHIR. ESTESO NON CORRELATO CON DIA. PRINC.;NA;MDC NON APPLICABILE;1;1;0;0;0;29;0;0;29;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;087;EDEMA POLMONARE E INSUFF. RESPIRATORIA;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;3;3;1;0;0;15;0;0;15;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;536;IMP. DI DEFIBRILL. CARD. CON CATETERISMO CARD. SENZA IMA INSUFF. CARD. O SHOCK;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;7;7;0;0;0;106;0;0;106;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;234;ALTRI INT. SIST. MUSCOLOSCHEL. E CONNETT. SENZA CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;1;1;1;0;0;1;0;0;1;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;089;POLMONITE SEMPLICE E PLEURITE, ETA' > 17 CON CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;26;26;1;0;0;250;0;0;250;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;567;INT ESOFAGO, STOMACO E DUODENO, ETÀ > 17 ANNI CON CC CON DIA GASTROINTEST MAGG;06;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;16;0;0;16;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;07;CARDIOCHIRURGIA;A;C;108;ALTRI INT. CARDIOTORACICI;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;5;5;0;0;0;45;0;0;45;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;099;SEGNI E SINTOMI RESPIRATORI CON CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;6;6;0;0;0;33;0;0;33;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;43;UROLOGIA;A;C;304;INTERVENTI SU RENE E URETERE, NON PER NEOPLASIA CON CC;11;MALATTIE E DISTURBI RENE E VIE URINARIE;5;5;0;0;0;70;0;0;70;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;13;CHIRURGIA TORACICA;A;C;077;ALTRI INT. SU APP. RESPIRATORIO SENZA CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;4;3;3;0;1;3;0;1;4;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;M;179;MAL. INFIAMMATORIE INTESTINO;06;MALATTIE E DISTURBI APPARATO DIGERENTE;4;2;0;2;0;13;2;0;15;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;C;076;ALTRI INT. SU APP. RESPIRATORIO CON CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;6;6;0;0;0;96;0;0;96;0;0;0;0
